SatelliteName,OperatorCountry,Users,Purpose,OrbitClass,OrbitType,Perigee,Apogee,Period,LaunchMass,DryMass,Power,LaunchDate,Current Date,Age,ContractorCountry,LaunchSite,LaunchVehicle
"Advanced Orion 6 (Mentor, NRO L-15, USA 237)",USA,Military,Earth Observation,GEO,None,35771,35805,1436.1,"5,000",,,6/29/2012,6/5/2018,6,USA,Cape Canaveral,Delta 4 Heavy
"Advanced Orion 7 (Mentor, NRO L-37, USA 268)",USA,Military,Earth Observation,GEO,None,35613,35903,1437.19,"5,000",,,6/11/2016,6/5/2018,2,USA,Cape Canaveral,Delta 4 Heavy
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA,Military,Communications,GEO,None,35772,35801,1436.1,"6,169",,,5/3/2012,6/5/2018,7,USA,Cape Canaveral,Atlas 5
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",USA,Military,Communications,GEO,None,35700,35803,1436.1,"6,169",,,9/18/2013,6/5/2018,5,USA,Cape Canaveral,Atlas 5
Aeneas,USA,Government,Technology Development,LEO,Equatorial,480,790,97.4,3,,,9/13/2012,6/5/2018,6,USA,Vandenberg AFB,Atlas 5
Aerocube 4.5A,USA,Commercial,Technology Development,LEO,Non-Polar Inclined,495,791,97.5,5,,,9/13/2012,6/5/2018,6,USA,Vandenberg AFB,Atlas 5
Aerocube 4.5B,USA,Commercial,Technology Development,LEO,Non-Polar Inclined,499,792,97.6,5,,,9/13/2012,6/5/2018,6,USA,Vandenberg AFB,Atlas 5
Aerocube 5A,USA,Commercial,Technology Development,LEO,Polar,443,886,98,5,,,12/6/2013,6/5/2018,5,USA,Vandenberg AFB,Atlas 5
Aerocube 5B,USA,Commercial,Technology Development,LEO,Polar,443,886,98,5,,,12/6/2013,6/5/2018,5,USA,Vandenberg AFB,Atlas 5
Aerocube 5C,USA,Commercial,Technology Development,LEO,Non-Polar Inclined,500,802,97.74,2,,,10/8/2015,6/5/2018,3,USA,Vandenberg AFB,Atlas 5
Aerocube 6A,USA,Commercial,Technology Development,LEO,Sun-Synchronous,614,700,97.88,5,,,6/19/2014,6/5/2018,4,USA,Dombarovsky Air Base,Dnepr
Aerocube 6B,USA,Commercial,Technology Development,LEO,Sun-Synchronous,614,700,97.88,5,,,6/19/2014,6/5/2018,4,USA,Dombarovsky Air Base,Dnepr
Aerocube 7A,USA,Commercial,Technology Development,LEO,Non-Polar Inclined,500,802,97.4,2,,,10/8/2015,6/5/2018,3,USA,Vandenberg AFB,Atlas 5
Aerocube 8A,USA,Commercial,Technology Development,LEO,Non-Polar Inclined,356,700,95.19,5,,,5/20/2015,6/5/2018,4,USA,Cape Canaveral,Atlas 5
Aerocube 8B,USA,Commercial,Technology Development,LEO,Non-Polar Inclined,356,700,95.19,5,,,5/20/2015,6/5/2018,4,USA,Cape Canaveral,Atlas 5
Aerocube 8C,USA,Commercial,Technology Development,LEO,Sun-Synchronous,573,585,96.23,2,,,11/11/2016,6/5/2018,2,USA,Vandenberg AFB,Atlas 5
Aerocube 8D,USA,Commercial,Technology Development,LEO,Sun-Synchronous,572,584,96.23,2,,,11/11/2016,6/5/2018,2,USA,Vandenberg AFB,Atlas 5
"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M, Eutelsat 48D)",Multinational,Commercial,Communications,GEO,None,35764,35808,1436.08,"3,460","1,555","7,000",12/20/2008,6/5/2018,10,France,Guiana Space Center,Ariane 5
Afristar ,USA,Commercial,Communications,GEO,None,35770,35802,1436.09,"2,704","1,530","5,500",10/28/1998,6/5/2018,20,France,Guiana Space Center,Ariane 44L
AIM (Aeronomy of Ice in Mesosphere),USA,Government,Earth Observation,LEO,Sun-Synchronous,544,552,96.2,215,197,216,4/25/2007,6/5/2018,12,USA,Vandenberg AFB,Pegasus XL
AISat-1,Germany,Government,Communications,LEO,Sun-Synchronous,643,660,97.76,14,,,6/30/2014,6/5/2018,4,Germany,Satish Dhawan Space Centre,PSLV-CA
AISSat-1 (Automatic Identification System Satellite-1),Norway,Government,Communications,LEO,Sun-Synchronous,615,632,97.2,6,,,7/12/2010,6/5/2018,8,Canada,Satish Dhawan Space Centre,PSLV
AISSat-2 (Automatic Identification System Satellite-2),Norway,Government,Communications,LEO,Sun-Synchronous,625,631,97.27,6,,,7/8/2014,6/5/2018,4,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b
AIST-1,Russia,Civil,Technology Development,LEO,Polar,599,626,96.9,,,,12/28/2013,6/5/2018,5,Russia,Plesetsk Cosmodrome,"Soyuz 2,1v"
AIST-2,Russia,Civil,Technology Development,LEO,Non-Polar Inclined,558,582,96.06,53,,,4/19/2013,6/5/2018,6,Russia,Baikonur Cosmodrome,Soyuz 2.1a
AIST-2D,Russia,Civil,Technology Development,LEO,Sun-Synchronous,471,486,94.18,531,,,4/27/2016,6/5/2018,3,Russia,Vostochny Cosmodrome,Soyuz 2.1a
Al-Farabi-1,Kazakhstan,Civil,Technology Development,LEO,Sun-Synchronous,497,497,94.5,2,,,2/15/2017,6/5/2018,2,Kazakhstan,Satish Dhawan Space Centre,PSLV XL
ALiCE  (AFIT LEO iMESA CNT E),USA,Military,Technology Development,LEO,Polar,443,886,98,5,,,12/6/2013,6/5/2018,5,USA,Vandenberg AFB,Atlas 5
Alphasat I-XL  (Inmarsat IV-A F4),United Kingdom/ESA,Commercial/Government,Communications,GEO,None,35786,35787,1436.09,"6,650","3,370","12,000",7/25/2013,6/5/2018,5,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA
Alsat 2B,Algeria,Government,Earth Observation,LEO,Sun-Synchronous,646,660,97.7,117,,,9/26/2016,6/5/2018,2,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV
Alsat-1B,Algeria,Government,Earth Observation,LEO,Sun-Synchronous,661,704,98.4,103,,,9/26/2016,6/5/2018,2,United Kingdom,Satish Dhawan Space Centre,PSLV
AlSat-1N,Algeria,Government,Technology Development,LEO,Sun-Synchronous,661,698,98.3,10,,,9/26/2016,6/5/2018,2,United Kingdom,Satish Dhawan Space Centre,PSLV
Alsat-2A (Algeria Satellite 2A),Algeria,Government,Earth Observation,LEO,Sun-Synchronous,672,674,98.2,130,,,7/12/2010,6/5/2018,8,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV
Altair-1 (Altair Pathfinder),USA,Commercial,Technology Demonstration,LEO,Non-Polar Inclined,401,404,92.6,10,,,5/18/2017,6/5/2018,2,USA,International Space Station,Nanorack Deployer
Amazonas-2,Spain,Commercial,Communications,GEO,None,35767,35805,1436.08,"5,465",,"15,300",10/1/2009,6/5/2018,9,France/UK/Germany/Spain,Guiana Space Center,Ariane 5
Amazonas-3,Spain,Commercial,Communications,GEO,None,35781,35791,1436.05,"6,265","2,778","14,000",2/7/2013,6/5/2018,6,USA,Guiana Space Center,Ariane 5 ECA
Amazonas-4A,Spain,Commercial,Communications,GEO,None,35784,35795,1436.24,"2,938",,,3/22/2014,6/5/2018,5,USA,Guiana Space Center,Ariane 5 ECA
"AMC-1 (Americom 1, GE-1)",USA,Commercial,Communications,GEO,None,35772,35800,1436.1,"2,783","1,600","6,500 (EOL)",9/8/1996,6/5/2018,22,USA,Cape Canaveral,Atlas 2A
"AMC-10 (Americom-10, GE 10)",USA,Commercial,Communications,GEO,None,35775,35797,1436.09,"2,315",907,"6,500 (EOL)",2/5/2004,6/5/2018,15,USA,Cape Canaveral,Atlas 2AS
"AMC-11 (Americom-11, GE 11)",USA,Commercial,Communications,GEO,None,35774,35797,1436.07,"2,340","2,316 (BOL)","6,500 (EOL)",5/19/2004,6/5/2018,15,USA,Cape Canaveral,Atlas 2AS
AMC-15 (Americom-15),USA,Commercial,Communications,GEO,None,35777,35795,1436.08,"4,200",,,10/14/2004,6/5/2018,14,USA,Baikonur Cosmodrome,Proton M
AMC-16 (Americom-16),USA,Commercial,Communications,GEO,None,35780,35793,1436.1,"4,312",,,12/17/2004,6/5/2018,14,USA,Cape Canaveral,Atlas 5
AMC-18 (Americom 18),USA,Commercial,Communications,GEO,None,35773,35800,1436.1,"2,081",918,,12/8/2006,6/5/2018,12,USA,Guiana Space Center,Ariane 5
"AMC-2 (Americom 2, GE-2)",USA,Commercial,Communications,GEO,None,35774,35798,1436.1,"2,648","1,600","6,500 (EOL)",1/30/1997,6/5/2018,22,USA,Guiana Space Center,Ariane 44L
AMC-21 (Americom 21),USA,Commercial,Communications,GEO,None,35778,35793,1436.1,"2,500",,"5,000",8/14/2008,6/5/2018,10,USA,Guiana Space Center,Ariane 5 ECA
"AMC-3 (Americom 3, GE-3)",USA,Commercial,Communications,GEO,None,35777,35795,1436.08,"2,845","1,600","6,500 (EOL)",9/4/1997,6/5/2018,21,USA,Cape Canaveral,Atlas 2AS
"AMC-4 (Americom-4, GE-4)",USA,Commercial,Communications,GEO,None,35781,35791,1436.1,"3,909","2,500",,11/13/1999,6/5/2018,19,USA,Guiana Space Center,Ariane 44LP
"AMC-6 (Americom-6, GE-6)",USA,Commercial,Communications,GEO,None,35778,35795,1436.12,"3,901","2,500",,10/22/2000,6/5/2018,18,USA,Baikonur Cosmodrome,Proton K
"AMC-7 (Americom-7, GE-7)",USA,Commercial,Communications,GEO,None,35773,35798,1436.08,"1,935",912,"6,500 (EOL)",9/14/2000,6/5/2018,18,USA,Guiana Space Center,Ariane 5G
"AMC-8 (Americom-8, GE-8, Aurora 3)",USA,Commercial,Communications,GEO,None,35773,35798,1436.07,"2,015",919,"3,300",12/19/2000,6/5/2018,18,USA,Guiana Space Center,Ariane 5G
Amos 3,Israel,Military/Commercial,Communications,GEO,None,35783,35789,1436.1,,,,4/28/2008,6/5/2018,11,Israel,Baikonur Cosmodrome,Zenit 3SLB
Amos 4,Israel,Military/Commercial,Communications,GEO,None,35633,35796,1432,,,,8/31/2013,6/5/2018,5,Israel,Baikonur Cosmodrome,Zenit 2SB
Amsat-Oscar 7 (AO-7),USA,Civil,Communications,LEO,Polar,1440,1459,114.9,29,,,11/15/1974,6/5/2018,44,USA,Vandenberg AFB,Delta 2310
Anik F1 ,Canada,Commercial,Communications,GEO,None,35778,35793,1436.08,"4,710","2,950","15,500 (EOL)",11/21/2000,6/5/2018,18,USA,Guiana Space Center,Ariane 44L
Anik F1R,Canada,Commercial,Communications,GEO,None,35777,35795,1436.1,"4,500",,"10,000",9/9/2005,6/5/2018,13,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M
Anik F2 ,Canada,Commercial,Communications,GEO,None,35781,35790,1436.08,"5,910","3,805","16,000",7/18/2004,6/5/2018,14,USA,Guiana Space Center,Ariane 5
Anik F3,Canada,Commercial,Communications,GEO,None,35778,35794,1436.1,"4,715",,"17,500",4/9/2007,6/5/2018,12,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M
Anik G1,Canada,Commercial,Communications,GEO,None,35773,35799,1436.08,"4,905",,"17,500",4/15/2013,6/5/2018,6,USA,Baikonur Cosmodrome,Proton M
AntelSat,Uruguay,Civil,Technology Development,LEO,Sun-Synchronous,612,696,96.99,2,,,6/19/2014,6/5/2018,4,Uruguay,Dombarovsky Air Base,Dnepr
AOBA-Velox 3 ,Singapore/Japan,Civil,Technology Development,LEO,Non-Polar Inclined,398,407,92.61,2,,,12/9/2016,6/5/2018,2,Singapore/Japan,International Space Station,Nanorack Deployer
AprizeSat 1 (LatinSat-C),Argentina,Commercial,Communications,LEO,Sun-Synchronous,696,764,99.4,12,12,,6/29/2004,6/5/2018,14,Argentina,Baikonur Cosmodrome,Dnepr 1
AprizeSat 10 (exactView-13),USA/Argentina,Commercial,Communications,LEO,Sun-Synchronous,613,733,98,12,12,,6/19/2014,6/5/2018,4,USA,Dombarovsky Air Base,Dnepr
AprizeSat 2 (LatinSat-D),Argentina,Commercial,Communications,LEO,Sun-Synchronous,694,850,100.3,12,12,,6/29/2004,6/5/2018,14,Argentina,Baikonur Cosmodrome,Dnepr 1
AprizeSat 3 ,USA/Argentina,Commercial,Communications,LEO,Sun-Synchronous,559,662,97,12,12,,7/29/2009,6/5/2018,9,USA,Baikonur Cosmodrome,Dnepr
AprizeSat 4 ,USA/Argentina,Commercial,Communications,LEO,Sun-Synchronous,604,674,97.5,12,12,,7/29/2009,6/5/2018,9,USA,Baikonur Cosmodrome,Dnepr
AprizeSat 5,Canada,Commercial,Communications,LEO,Sun-Synchronous,610,694,97.8,12,12,,8/17/2011,6/5/2018,7,USA,Dombarovsky Air Base,Dnepr 1
AprizeSat 7,Canada,Commercial,Communications,LEO,Sun-Synchronous,594,653,97.17,12,12,,11/21/2013,6/5/2018,5,USA,Dombarovsky Air Base,Dnepr
AprizeSat 8 (exactView-12),USA/Argentina,Commercial,Communications,LEO,Sun-Synchronous,594,669,97.99,12,12,,11/21/2013,6/5/2018,5,USA,Dombarovsky Air Base,Dnepr
AprizeSat 9 (exactView-11),Canada,Commercial,Communications,LEO,Sun-Synchronous,613,715,98,12,12,,6/19/2014,6/5/2018,4,USA,Dombarovsky Air Base,Dnepr
Apstar 6,China,Commercial,Communications,GEO,None,35778,35794,1436.08,"4,680",,,4/12/2005,6/5/2018,14,France,Xichang Satellite Launch Center,Long March 3B
Apstar 7,China,Commercial,Communications,GEO,None,35864,35874,1440.31,"5,054",,,3/31/2012,6/5/2018,7,France/Italy,Xichang Satellite Launch Center,Long March 3B
Apstar 9,China,Commercial,Communications,GEO,None,35782,35788,1436.01,"5,200",,"10,500",10/16/2015,6/5/2018,3,China,Xichang Satellite Launch Center,Long March 3B
"Apstar 9A (Chinastar-1, ChinaSat-10, Zhongwei 1, Chinasat 5A)",China,Commercial,Communications,GEO,None,35778,35795,1436.12,"3,000","1,418","6,797 (EOL)",5/30/1998,6/5/2018,21,USA,Xichang Satellite Launch Center,Long March 3B
Arabsat 5C,Multinational,Government,Communications,GEO,None,35766,35805,1436.06,"4,630",,,9/21/2011,6/5/2018,7,France,Guiana Space Center,Arinae 5 ECA
Arabsat 7F (Nimiq 1) ,Multinational,Commercial,Communications,GEO,None,35778,35794,1436.09,"3,600","1,700","8,600",5/20/1999,6/5/2018,20,USA/Canada,Baikonur Cosmodrome,Proton D
ARC-1 (Alaska Research Satellite-1),USA,Civil,Technology Development,LEO,Non-Polar Inclined,497,801,97.71,1,,,10/8/2015,6/5/2018,3,USA,Cape Canaveral,Atlas 5
ArSat 1,Argentina,Commercial,Communications,GEO,None,35778,35795,1436.07,"3,000",,,10/16/2014,6/5/2018,4,Argentina,Guiana Space Center,Ariane 5 ECA
ArSat 2,Argentina,Commercial,Communications,GEO,None,35786,35801,1436.06,"2,977",,"4,600",9/30/2015,6/5/2018,3,Argentina,Guiana Space Center,Ariane 5 ECA
Artemis (Advanced Data Relay and Technology Mission Satellite) ,ESA,Commercial/Government,Communications,GEO,None,35771,35803,1436.12,"3,105","1,500","4,600",7/12/2001,6/5/2018,17,Italy,Guiana Space Center,Ariane 5G
AsiaSat-3S (Asiasat 3SA),China,Commercial,Communications,GEO,None,35780,35792,1436.07,"3,480","2,500","10,000",3/21/1999,6/5/2018,20,USA,Baikonur Cosmodrome,Proton K
AsiaSat-4 ,China,Commercial,Communications,GEO,None,35784,35789,1436.1,"4,137","2,275","9,500",4/12/2003,6/5/2018,16,USA,Cape Canaveral,Atlas 3B
AsiaSat-5,China,Commercial,Communications,GEO,None,35778,35795,1436.11,"3,760",,,8/11/2009,6/5/2018,9,USA,Baikonur Cosmodrome,Breeze M
AsiaSat-6 (Thaicom-7),China,Commercial,Communications,GEO,None,35783,35793,1436.17,"3,700",,,9/7/2014,6/5/2018,4,USA,Cape Canaveral,Falcon 9
AsiaSat-7,China,Commercial,Communications,GEO,None,35782,35793,1436.17,"3,813",,,11/25/2011,6/5/2018,7,USA,Baikonur Cosmodrome,Proton M
AsiaSat-8,China,Commercial,Communications,GEO,None,35781,35793,1436.1,"4,500",,"8,500",8/5/2014,6/5/2018,4,USA,Cape Canaveral,Falcon 9
AsiaStar ,USA,Commercial,Communications,GEO,None,35773,35801,1436.15,"2,775","1,530","5,600",3/21/2000,6/5/2018,19,France,Guiana Space Center,Ariane 5G
ASNARO 1 (Advanced Satellite with New system Architecture for Observation),Japan,Government,Earth Observation,LEO,Sun-Synchronous,506,507,94.75,500,,,11/6/2014,6/5/2018,4,Japan,Dombarovsky Air Base,Dnepr
Astra 1D ,Luxembourg,Commercial,Communications,GEO,None,35776,35795,1436.08,"2,924","1,700","3,300",11/1/1994,6/5/2018,24,USA,Guiana Space Center,Ariane 42P
Astra 1F ,Luxembourg,Commercial,Communications,GEO,None,35778,35797,1436.15,"3,010","1,800","4,400",4/18/1996,6/5/2018,23,USA,Baikonur Cosmodrome,Proton K
Astra 1G ,Luxembourg,Commercial,Communications,GEO,None,35780,35791,1436.08,"3,379","3,010 (BOL)","6,600",12/2/1997,6/5/2018,21,USA,Baikonur Cosmodrome,Proton K
Astra 1H ,Luxembourg,Commercial,Communications,GEO,None,35776,35794,1436.04,"3,690","2,300","6,600",6/18/1999,6/5/2018,19,USA,Baikonur Cosmodrome,Proton D
Astra 1KR,Luxembourg,Commercial,Communications,GEO,None,35766,35807,1436.1,"4,332",,"12,000",4/20/2006,6/5/2018,13,USA,Cape Canaveral,Atlas 5
Astra 1L,Luxembourg,Commercial,Communications,GEO,None,35772,35798,1436.03,"4,500",,"13,000",5/4/2007,6/5/2018,12,USA,Guiana Space Center,Ariane 5 ECA
Astra 1M,Luxembourg,Commercial,Communications,GEO,None,35804,35852,1438.2,"5,345",,"9,900",11/5/2008,6/5/2018,10,France,Baikonur Cosmodrome,Proton M
Astra 1N,Luxembourg,Commercial,Communications,GEO,None,35715,35780,1434.1,"5,350",,,8/6/2011,6/5/2018,7,France,Guiana Space Center,Ariane 5 ECA
Astra 2A ,Luxembourg,Commercial,Communications,GEO,None,35776,35797,1436.12,"3,635","2,500 (BOL)","7,000",8/30/1998,6/5/2018,20,USA,Baikonur Cosmodrome,Proton K
Astra 2B ,Luxembourg,Commercial,Communications,GEO,None,35772,35801,1436.11,"3,315","1,400","7,800",9/14/2000,6/5/2018,18,France/UK/Germany,Guiana Space Center,Ariane 5G
Astra 2C ,Luxembourg,Commercial,Communications,GEO,None,35768,35804,1436.12,"3,643","2,000","7,000",6/16/2001,6/5/2018,17,USA,Baikonur Cosmodrome,Proton K
Astra 2D,Luxembourg,Commercial,Communications,GEO,None,35770,35802,1436.1,"1,420",700,"1,500",12/19/2000,6/5/2018,18,USA,Guiana Space Center,Ariane 5G
Astra 2E,Luxembourg,Commercial,Communications,GEO,None,35781,35793,1436.12,"6,052",,"13,000",9/29/2013,6/5/2018,5,France,Baikonur Cosmodrome,Proton M
Astra 2F,Luxembourg,Commercial,Communications,GEO,None,35777,35795,1436.07,"6,000","2,660",,9/28/2012,6/5/2018,6,France/UK/Germany,Guiana Space Center,Ariane 5 ECA
Astra 2G,Luxembourg,Commercial,Communications,GEO,None,35785,35789,1436.11,"6,000",,"13,000",12/27/2014,6/5/2018,4,Germany/France,Baikonur Cosmodrome,Proton-M
Astra 3A ,Luxembourg,Commercial,Communications,GEO,None,35770,35804,1436.07,"1,500",750,"1,500",3/29/2002,6/5/2018,17,USA,Guiana Space Center,Ariane 44L
Astra 3B,Luxembourg,Commercial,Communications,GEO,None,35768,35806,1436.11,"5,471",,"10,000",5/21/2010,6/5/2018,9,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA
Astra 5B,Luxembourg,Commercial,Communications,GEO,None,35787,35793,1436.26,"5,724",,,3/22/2014,6/5/2018,5,France,Guiana Space Center,Ariane 5 ECA
Astrosat,India,Government,Space Science,LEO,Equatorial,632,649,97.54,230,,,9/28/2015,6/5/2018,3,India,Satish Dhawan Space Centre,PSLV C-30
Athena-Fidus  (Access on THeatres for European Nations Allied forces - French Italian Dual Use Satellite),France/Italy,Government/Military,Communications,GEO,None,35784,35788,1436.06,"3,080",,,2/6/2014,6/5/2018,5,France,Guiana Space Center,Ariane 5 ECA
Athenoxat-1 ((Athene Noctua Experimental Satellite) ,Singapore,Commercial,Technology Development,LEO,Equatorial,532,550,95.46,6,,,12/16/2015,6/5/2018,3,Singapore,Satish Dhawan Space Centre,PSLV-C29
Atlantis (QB50 - US02),USA,Civil,Earth Science,LEO,Non-Polar Inclined,396,409,92.6,2,,,5/26/2017,6/5/2018,2,USA,International Space Station,Nanorack Deployer
Aurora  (Tabletsat-2U-EO),Russia,Commercial,Technology Development,LEO,Sun-Synchronous,583,618,96.7,25,,,6/19/2014,6/5/2018,4,Russia,Dombarovsky Air Base,Dnepr
Azerspace/Africasat-1a (Azersat-1),Azerbaijan,Government,Communications,GEO,None,35778,35794,1436.08,"3,250","1,438",,2/7/2013,6/5/2018,6,USA,Guiana Space Center,Ariane 5 ECA
Badr 4 (Arabsat 4B),Multinational,Government,Communications,GEO,None,35780,35791,1436.06,"3,304","1,487",,11/8/2006,6/5/2018,12,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M
Badr 5 (Arabsat 5B),Multinational,Government,Communications,GEO,None,35834,35883,1439.76,"5,420",,,6/3/2010,6/5/2018,9,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton
Badr 5A (Arabsat 5A),Multinational,Government,Communications,GEO,None,35605,35623,1427.27,"4,940",,,6/26/2010,6/5/2018,8,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA
Badr 6 (Arabsat 4AR),Multinational,Government,Communications,GEO,None,35768,35805,1436.1,"3,400",,"6,000",7/7/2008,6/5/2018,10,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA
Badr 7 (Arabsat 6B),Multinational,Government,Communications,GEO,None,35768,35817,"1,436.00","5,500",,,11/10/2015,6/5/2018,3,France/UK/Germany/Spain,Guiana Space Center,Ariane 5
BARS-M (Cosmos 2503),Russia,Military,Earth Observation,LEO,Sun-Synchronous,570,586,96.1,"4,000",,,2/27/2015,6/5/2018,4,Russia,Plesetsk Cosmodrome,Soyuz-2.1b
BARS-M (Cosmos 2515),Russia,Military,Earth Observation,LEO,Sun-Synchronous,549,594,96.1,"4,000",,,3/24/2016,6/5/2018,3,Russia,Plesetsk Cosmodrome,Soyuz 2.1a
BeEagleSat (QB 50 - TR01),Turkey,Civil,Earth Science,LEO,Non-Polar Inclined,395,411,92.6,2,,,5/26/2017,6/5/2018,2,Turkey,International Space Station,Nanorack Deployer
BeeSat-1 (Berlin Experimental and Educational Satellite 1),Germany,Civil,Technology Development,LEO,Sun-Synchronous,709,718,99,1,,,9/23/2009,6/5/2018,9,Germany,Satish Dhawan Space Centre,PSLV
BeeSat-2 (Berlin Experimental and Educational Satellite 2),Germany,Civil,Technology Development,LEO,Non-Polar Inclined,555,579,96.01,1,,,4/19/2013,6/5/2018,6,Germany,Baikonur Cosmodrome,Soyuz 2.1a
BeeSat-3 (Berlin Experimental and Educational Satellite 3),Germany,Civil,Technology Development,LEO,Non-Polar Inclined,554,581,96.01,1,,,4/19/2013,6/5/2018,6,Germany,Baikonur Cosmodrome,Soyuz 2.1a
Beidou 2-12 (Compass M3),China,Government/MIlitary,Navigation,MEO,Non-Polar Inclined,21460,21595,773.19,"2,200",,,4/28/2012,6/5/2018,7,China,Xichang Satellite Launch Center,Long March 3B
Beidou 2-13 (Compass M4),China,Government/MIlitary,Navigation,MEO,Non-Polar Inclined,21452,21603,773.21,"2,200",,,4/28/2012,6/5/2018,7,China,Xichang Satellite Launch Center,Long March 3B
Beidou 2-14 (Compass M5),China,Government/MIlitary,Navigation,MEO,Non-Polar Inclined,21462,21591,773.1,"3,800",,,9/18/2012,6/5/2018,6,China,Xichang Satellite Launch Center,Long March 3B
Beidou 2-15 (Compass M6),China,Government/MIlitary,Navigation,MEO,Non-Polar Inclined,21477,21574,773.1,"3,800",,,9/18/2012,6/5/2018,6,China,Xichang Satellite Launch Center,Long March 3B
Beidou 2-16 (Compass G-6),China,Government/MIlitary,Navigation,GEO,None,35775,35799,1436.11,"3,800","2,300",,10/25/2012,6/5/2018,6,China,Xichang Satellite Launch Center,Long March 3C
Beidou 2-17 (IGSO-6),China,Government/MIlitary,Navigation,GEO,None,35676,35890,1435.92,"4,200","1,900",,3/30/2016,6/5/2018,3,China,Xichang Satellite Launch Center,Long March 3A
Beidou 2-18 (Compass G-7),China,Government/MIlitary,Navigation,GEO,None,35776,35794,1436.1,"3,800",,,6/12/2016,6/5/2018,2,China,Xichang Satellite Launch Center,Long March 3C
Beidou 3I-1S,China,Government/MIlitary,Navigation,GEO,None,35796,36781,1461.81,"4,200",,,3/30/2015,6/5/2018,4,China,Xichang Satellite Launch Center,Long March 3C
Beidou 3I-2S,China,Government/MIlitary,Navigation,GEO,None,35606,35953,1435.73,"4,200",,,9/29/2015,6/5/2018,3,China,Xichang Satellite Launch Center,Long March 3B
Beidou 3M-1S,China,Government/MIlitary,Navigation,MEO,Non-Polar Inclined,21520,21549,773.2,800,,,7/25/2015,6/5/2018,3,China,Xichang Satellite Launch Center,Long March 3B
Beidou 3M-2S,China,Government/MIlitary,Navigation,MEO,Non-Polar Inclined,21521,21550,773.3,800,,,7/25/2015,6/5/2018,3,China,Xichang Satellite Launch Center,Long March 3B
